attempts,avg_time_per_evaluation_seconds,completion_tokens,evaluator_model,expected_evaluations,line_no,llm_seconds,parsing_seconds,prompt_tokens,row_type,source_file,stage,successful_evaluations,total_seconds,total_tokens
1,,3128,anthropic.claude-sonnet-4-20250514-v1:0,,2119,29.77,0.00,6285,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,accuracy_evaluation,,29.77,9413
1,,6123,gpt-5-2025-08-07,,2126,53.08,0.00,10357,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,completeness_evaluation,,53.08,16480
1,,3317,anthropic.claude-sonnet-4-20250514-v1:0,,2132,47.84,0.00,5882,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,completeness_evaluation,,47.84,9199
1,,4433,gpt-5-2025-08-07,,2138,54.37,0.00,10283,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,coverage_evaluation,,54.38,14716
1,,4269,anthropic.claude-sonnet-4-20250514-v1:0,,2152,74.34,0.00,7761,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,completeness_evaluation,,74.34,12030
1,,439,anthropic.claude-sonnet-4-20250514-v1:0,,2158,12.56,0.00,10263,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,general_evaluation,,12.56,10702
1,,2818,anthropic.claude-sonnet-4-20250514-v1:0,,2425,39.51,0.00,6536,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,coverage_evaluation,,39.51,9354
1,,2938,anthropic.claude-sonnet-4-20250514-v1:0,,2440,40.49,0.00,8292,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,coverage_evaluation,,40.49,11230
1,,3652,anthropic.claude-sonnet-4-20250514-v1:0,,2455,39.50,0.00,6791,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,accuracy_evaluation,,39.50,10443
1,,1447,gpt-5-2025-08-07,,2488,18.51,0.00,6182,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,general_evaluation,,18.51,7629
1,,4125,anthropic.claude-sonnet-4-20250514-v1:0,,2493,74.87,0.00,12033,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,completeness_evaluation,,74.87,16158
1,,1410,gpt-5-2025-08-07,,2508,18.21,0.00,3850,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,general_evaluation,,18.21,5260
1,,1520,gpt-5-2025-08-07,,2513,15.11,0.00,9102,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,general_evaluation,,15.11,10622
1,,2904,anthropic.claude-sonnet-4-20250514-v1:0,,2518,54.16,0.00,12411,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,coverage_evaluation,,54.16,15315
1,,5781,gpt-5-2025-08-07,,3357,34.85,0.00,5435,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,accuracy_evaluation,,34.85,11216
1,,1288,gpt-5-2025-08-07,,3373,20.36,0.00,3627,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,general_evaluation,,20.36,4915
1,,11054,gpt-5-2025-08-07,,3378,85.50,0.00,5333,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,accuracy_evaluation,,85.50,16387
1,,10673,gpt-5-2025-08-07,,3385,80.31,0.00,5212,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,accuracy_evaluation,,80.31,15885
1,,10826,gpt-5-2025-08-07,,3392,71.24,0.00,6851,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,completeness_evaluation,,71.24,17677
1,,6607,gpt-5-2025-08-07,,3703,87.68,0.00,10906,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,completeness_evaluation,,87.68,17513
1,,8030,gpt-5-2025-08-07,,3709,114.02,0.00,7986,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,completeness_evaluation,,114.02,16016
1,,5801,gpt-5-2025-08-07,,3715,46.65,0.00,5640,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,accuracy_evaluation,,46.65,11441
1,,10216,gpt-5-2025-08-07,,3722,145.69,0.00,6777,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,coverage_evaluation,,145.69,16993
1,,5009,gpt-5-2025-08-07,,3732,83.90,0.00,10832,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,coverage_evaluation,,83.90,15841
1,,380,anthropic.claude-sonnet-4-20250514-v1:0,,3742,9.93,0.00,4943,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,general_evaluation,,9.93,5323
1,,334,anthropic.claude-sonnet-4-20250514-v1:0,,4027,9.83,0.00,10969,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,general_evaluation,,9.83,11303
1,,2480,anthropic.claude-sonnet-4-20250514-v1:0,,4300,23.62,0.00,7009,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,accuracy_evaluation,,23.62,9489
1,,3924,anthropic.claude-sonnet-4-20250514-v1:0,,4307,43.32,0.00,6882,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,accuracy_evaluation,,43.32,10806
1,,6307,gpt-5-2025-08-07,,4314,99.54,0.00,7912,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,coverage_evaluation,,99.54,14219
1,,417,anthropic.claude-sonnet-4-20250514-v1:0,,4324,11.85,0.00,7695,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,general_evaluation,,11.85,8112
1,,9871,gpt-5-2025-08-07,,4591,135.13,0.00,6628,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,completeness_evaluation,,135.13,16499
1,,3755,anthropic.claude-sonnet-4-20250514-v1:0,,4597,37.99,0.00,6725,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,accuracy_evaluation,,37.99,10480
1,,5574,anthropic.claude-sonnet-4-20250514-v1:0,,4604,95.24,0.00,7401,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,completeness_evaluation,,95.24,12975
1,,4095,anthropic.claude-sonnet-4-20250514-v1:0,,4610,79.34,0.00,12654,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,completeness_evaluation,,79.34,16749
1,,2608,anthropic.claude-sonnet-4-20250514-v1:0,,4616,37.14,0.00,13002,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,coverage_evaluation,,37.14,15610
1,,3861,anthropic.claude-sonnet-4-20250514-v1:0,,4629,73.01,0.00,9301,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,completeness_evaluation,,73.01,13162
1,,4448,anthropic.claude-sonnet-4-20250514-v1:0,,4635,78.74,0.00,8334,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,coverage_evaluation,,78.74,12782
1,,1131,gpt-5-2025-08-07,,4661,10.15,0.00,2123,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,general_evaluation,,10.15,3254
1,,2628,anthropic.claude-sonnet-4-20250514-v1:0,,4666,50.14,0.00,9728,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,coverage_evaluation,,50.14,12356
1,,10455,gpt-5-2025-08-07,,4679,138.63,0.00,6554,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,coverage_evaluation,,138.63,17009
1,,356,anthropic.claude-sonnet-4-20250514-v1:0,,4689,9.02,0.00,4682,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,general_evaluation,,9.02,5038
1,,1628,gpt-5-2025-08-07,,367,16.95,0.00,8458,metric_call,batch_meeting_notes_model_comparison_20260403_1338.log,general_evaluation,,16.95,10086
1,,1305,gpt-5-2025-08-07,,372,20.74,0.00,3422,metric_call,batch_meeting_notes_model_comparison_20260403_1338.log,general_evaluation,,20.74,4727
1,,1290,gpt-5-2025-08-07,,377,22.29,0.00,4844,metric_call,batch_meeting_notes_model_comparison_20260403_1338.log,general_evaluation,,22.29,6134
1,,1520,gpt-5-2025-08-07,,382,24.39,0.00,3669,metric_call,batch_meeting_notes_model_comparison_20260403_1338.log,general_evaluation,,24.39,5189
1,,1585,gpt-5-2025-08-07,,67,23.49,0.00,3627,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1413.log,general_evaluation,,23.49,5212
1,,1646,gpt-5-2025-08-07,,72,24.21,0.00,2123,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1413.log,general_evaluation,,24.21,3769
1,,1529,gpt-5-2025-08-07,,182,22.36,0.00,2008,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1413.log,general_evaluation,,22.36,3537
1,,1075,gpt-5-2025-08-07,,187,11.76,0.00,6791,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1413.log,general_evaluation,,11.76,7866
1,,1285,gpt-5-2025-08-07,,55,14.72,0.00,3429,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,14.72,4714
1,,1789,gpt-5-2025-08-07,,60,18.37,0.00,2875,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,18.37,4664
1,,1238,gpt-5-2025-08-07,,65,20.09,0.00,3738,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,20.09,4976
1,,1487,gpt-5-2025-08-07,,70,22.58,0.00,3653,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,22.58,5140
1,,6149,gpt-5-2025-08-07,,756,39.29,0.00,3774,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,39.29,9923
1,,7597,gpt-5-2025-08-07,,1053,46.80,0.00,4279,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,46.80,11876
1,,4781,gpt-5-2025-08-07,,1060,64.14,0.00,3631,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,64.14,8412
1,,9061,gpt-5-2025-08-07,,1066,105.09,0.00,4911,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,105.09,13972
1,,3079,gpt-5-2025-08-07,,1073,41.07,0.00,3557,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,41.07,6636
1,,328,anthropic.claude-sonnet-4-20250514-v1:0,,1085,6.89,0.00,3832,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,6.89,4160
1,,8838,gpt-5-2025-08-07,,1226,113.59,0.00,5351,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,113.59,14189
1,,1825,anthropic.claude-sonnet-4-20250514-v1:0,,1233,20.68,0.00,4899,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,20.68,6724
1,,8342,gpt-5-2025-08-07,,1240,116.42,0.00,5008,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,116.42,13350
1,,2110,anthropic.claude-sonnet-4-20250514-v1:0,,1246,25.79,0.00,4520,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,25.79,6630
1,,1319,anthropic.claude-sonnet-4-20250514-v1:0,,1252,13.75,0.00,4665,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,13.75,5984
1,,1254,gpt-5-2025-08-07,,1275,19.69,0.00,3627,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,19.69,4881
1,,8190,gpt-5-2025-08-07,,1282,106.33,0.00,6069,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,106.33,14259
1,,9229,gpt-5-2025-08-07,,1288,98.08,0.00,5660,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,98.08,14889
1,,7049,gpt-5-2025-08-07,,1590,100.55,0.00,4934,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,100.55,11983
1,,339,anthropic.claude-sonnet-4-20250514-v1:0,,1600,8.80,0.00,4667,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,8.80,5006
1,,11387,gpt-5-2025-08-07,,1816,66.20,0.00,5995,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,66.20,17382
1,,3015,anthropic.claude-sonnet-4-20250514-v1:0,,1826,32.03,0.00,5572,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,32.03,8587
1,,371,anthropic.claude-sonnet-4-20250514-v1:0,,1833,12.27,0.00,4805,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,12.27,5176
1,,7242,gpt-5-2025-08-07,,2160,59.06,0.00,5658,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,59.06,12900
1,,2831,anthropic.claude-sonnet-4-20250514-v1:0,,2167,28.88,0.00,6454,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,28.89,9285
1,,2756,anthropic.claude-sonnet-4-20250514-v1:0,,2174,40.79,0.00,5620,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,40.79,8376
1,,7109,gpt-5-2025-08-07,,2180,106.84,0.00,5586,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,106.84,12695
1,,398,anthropic.claude-sonnet-4-20250514-v1:0,,2190,9.54,0.00,4426,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,9.54,4824
1,,3435,anthropic.claude-sonnet-4-20250514-v1:0,,2481,42.18,0.00,6041,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,42.18,9476
1,,2309,anthropic.claude-sonnet-4-20250514-v1:0,,2487,32.19,0.00,6170,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,32.19,8479
1,,1041,gpt-5-2025-08-07,,2506,16.45,0.00,6791,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,16.45,7832
1,,3670,anthropic.claude-sonnet-4-20250514-v1:0,,2511,37.02,0.00,6869,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,37.02,10539
1,,3813,anthropic.claude-sonnet-4-20250514-v1:0,,2518,46.97,0.00,7447,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,46.97,11260
1,,1452,gpt-5-2025-08-07,,2537,14.31,0.00,2123,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,14.31,3575
1,,3423,anthropic.claude-sonnet-4-20250514-v1:0,,2542,45.06,0.00,5776,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,45.06,9199
1,,10680,gpt-5-2025-08-07,,2548,135.99,0.00,6628,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,135.99,17308
1,,2727,gpt-5-2025-08-07,,2621,18.86,0.00,2613,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,18.86,5340
1,,3704,anthropic.claude-sonnet-4-20250514-v1:0,,2975,53.53,0.00,6920,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,53.53,10624
1,,1538,gpt-5-2025-08-07,,2994,21.82,0.00,2008,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,21.82,3546
1,,2284,gpt-5-2025-08-07,,2999,33.16,0.00,2309,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,33.16,4593
1,,9366,gpt-5-2025-08-07,,3005,47.84,0.00,6082,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,47.84,15448
1,,1579,gpt-5-2025-08-07,,3012,23.53,0.00,2235,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,23.53,3814
1,,386,anthropic.claude-sonnet-4-20250514-v1:0,,3022,8.02,0.00,2895,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,8.02,3281
1,,866,anthropic.claude-sonnet-4-20250514-v1:0,,3090,8.92,0.00,3465,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,8.92,4331
1,,1105,anthropic.claude-sonnet-4-20250514-v1:0,,3179,11.97,0.00,3027,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,11.97,4132
1,,756,anthropic.claude-sonnet-4-20250514-v1:0,,3185,9.51,0.00,3064,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,9.51,3820
1,,4672,gpt-5-2025-08-07,,3213,37.12,0.00,2710,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,37.13,7382
1,,11735,gpt-5-2025-08-07,,3220,158.08,0.00,6554,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,158.08,18289
1,,1305,gpt-5-2025-08-07,,3230,12.14,0.00,2184,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,12.14,3489
1,,419,anthropic.claude-sonnet-4-20250514-v1:0,,3235,8.06,0.00,4682,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,8.06,5101
1,,2684,anthropic.claude-sonnet-4-20250514-v1:0,,3532,24.38,0.00,7261,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,24.38,9945
1,,4077,gpt-5-2025-08-07,,3627,52.57,0.00,2195,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,52.57,6272
1,,4119,gpt-5-2025-08-07,,3633,31.52,0.00,2767,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,31.52,6886
1,,10298,gpt-5-2025-08-07,,3640,137.94,0.00,9792,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,137.94,20090
1,,2470,gpt-5-2025-08-07,,3646,34.58,0.00,2121,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,34.59,4591
1,,418,anthropic.claude-sonnet-4-20250514-v1:0,,3656,7.08,0.00,2771,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,7.08,3189
1,,1312,anthropic.claude-sonnet-4-20250514-v1:0,,3739,13.06,0.00,3580,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,13.06,4892
1,,5626,anthropic.claude-sonnet-4-20250514-v1:0,,3746,74.06,0.00,7245,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,74.07,12871
1,,2376,gpt-5-2025-08-07,,3752,43.20,0.00,2371,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,43.20,4747
1,,1142,anthropic.claude-sonnet-4-20250514-v1:0,,3758,16.95,0.00,2864,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,16.95,4006
1,,761,anthropic.claude-sonnet-4-20250514-v1:0,,3764,7.58,0.00,2940,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,7.58,3701
1,,1608,gpt-5-2025-08-07,,3779,22.18,0.00,2297,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,22.18,3905
1,,427,anthropic.claude-sonnet-4-20250514-v1:0,,3789,9.91,0.00,2960,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,9.91,3387
1,,1466,anthropic.claude-sonnet-4-20250514-v1:0,,3882,18.19,0.00,3653,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,18.19,5119
1,,4553,anthropic.claude-sonnet-4-20250514-v1:0,,3889,60.05,0.00,8073,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,60.05,12626
1,,1185,anthropic.claude-sonnet-4-20250514-v1:0,,3904,13.32,0.00,3092,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,13.32,4277
1,,670,anthropic.claude-sonnet-4-20250514-v1:0,,3919,6.93,0.00,3129,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,6.93,3799
1,,9257,gpt-5-2025-08-07,,3932,117.26,0.00,9718,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,117.27,18975
1,,861,gpt-5-2025-08-07,,3942,9.44,0.00,3243,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,9.44,4104
1,,337,anthropic.claude-sonnet-4-20250514-v1:0,,3947,9.72,0.00,8310,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,9.72,8647
1,,3876,anthropic.claude-sonnet-4-20250514-v1:0,,4295,36.61,0.00,7816,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,36.61,11692
1,,6666,anthropic.claude-sonnet-4-20250514-v1:0,,4612,85.52,0.00,11251,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,85.52,17917
1,,1224,gpt-5-2025-08-07,,4618,17.24,0.00,8906,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,17.24,10130
1,,1023,gpt-5-2025-08-07,,4623,15.25,0.00,4864,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,15.25,5887
1,,6186,gpt-5-2025-08-07,,4628,36.84,0.00,5096,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,36.84,11282
1,,4090,anthropic.claude-sonnet-4-20250514-v1:0,,4635,55.80,0.00,11701,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,55.80,15791
1,,9252,gpt-5-2025-08-07,,4646,95.01,0.00,5667,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,95.01,14919
1,,7790,gpt-5-2025-08-07,,4933,41.16,0.00,5304,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,41.16,13094
1,,9170,gpt-5-2025-08-07,,5299,56.06,0.00,7288,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,56.06,16458
1,,9143,gpt-5-2025-08-07,,5305,53.00,0.00,6113,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,53.00,15256
1,,9561,gpt-5-2025-08-07,,5312,125.80,0.00,5593,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,125.80,15154
1,,382,anthropic.claude-sonnet-4-20250514-v1:0,,5322,9.06,0.00,4185,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,9.06,4567
1,,3396,anthropic.claude-sonnet-4-20250514-v1:0,,5607,33.20,0.00,6589,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,33.20,9985
1,,3988,anthropic.claude-sonnet-4-20250514-v1:0,,5614,60.13,0.00,5993,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,60.13,9981
1,,9492,gpt-5-2025-08-07,,5620,128.20,0.00,11330,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,128.20,20822
1,,3790,anthropic.claude-sonnet-4-20250514-v1:0,,5626,51.76,0.00,6862,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,51.77,10652
1,,10757,gpt-5-2025-08-07,,5637,181.98,0.00,7214,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,181.98,17971
1,,376,anthropic.claude-sonnet-4-20250514-v1:0,,5647,10.53,0.00,6052,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,10.53,6428
